Date,Open,High,Low,Close,Volume,Log_Return,Hist_Volatility,True_Range,ATR,Weighted_Close,Momentum,MA7,MA30,EMA12,EMA26,MACD,Signal_Line,MACD_Histogram,RSI,Typical_Price,Money_Flow,Money_Flow_Positive,Money_Flow_Negative,Money_Flow_Pos_14,Money_Flow_Neg_14,Money_Flow_Index,Rolling_Mean,Bollinger_High,Bollinger_Low,Pct_Change_Close,Pct_Change_Volume
2021-02-21,56068.56640625,58330.5703125,55672.609375,57539.9453125,51897585191,0.02535215971053203,0.7215407029429733,2657.9609375,3297.400390625,57270.767578125,5390.9375,52928.76171875,41799.521158854164,50854.14792704464,45580.33923698134,5273.808690063306,4343.421221958526,930.38746810478,86.04340398103268,57181.041666666664,2967557981205954.0,2967557981205954.0,0.0,4.0433348293661384e+16,1.0948576375204244e+16,78.69177449898362,46277.8140625,59686.11105773966,32869.51706726034,2.5676258785917394,-23.842930737866965
2021-02-22,57532.73828125,57533.390625,48967.56640625,54207.3203125,92052420332,-0.05966344725525414,0.779919393104765,8572.37890625,3329.169921875,53728.8994140625,2527.5234375,53823.37053571428,42537.510416666664,51370.02060173008,46219.37487220494,5150.645729525138,4504.866123471849,645.7796060532892,68.29591945430711,53569.42578125,4931195298959502.0,0.0,4931195298959502.0,3.6020311534702944e+16,1.5879771674163746e+16,69.40318648381123,47212.665625,60055.23513629916,34370.09611370084,-5.791845963531039,77.37322457917288
2021-02-23,54204.9296875,54204.9296875,45290.58984375,48824.42578125,106102492824,-0.10458524450100902,0.8845437865526053,8916.73046875,3763.4534040178573,49286.0927734375,-7063.70703125,53769.73549107143,43088.67864583333,50978.390629348534,46412.34160620828,4566.049023140251,4517.10270340553,48.94631973472133,54.340974270090534,49439.981770833336,5245705311058535.0,0.0,5245705311058535.0,3.174650841097491e+16,2.1125476985222284e+16,60.04410118720125,47780.282421875,59786.42328955052,35774.14155419949,-9.930198541853997,15.26312120998714
2021-02-24,48835.0859375,51290.13671875,47213.5,49705.33203125,63695521388,0.017881495738120444,0.8734718851543607,4076.63671875,3821.469308035714,49478.5751953125,-6394.1875,53420.638950892855,43666.643294270834,50782.5354604103,46656.26682287804,4126.268637532259,4438.935890230876,-312.6672526986167,59.09803196066891,49402.989583333336,3146749179636349.5,0.0,3146749179636349.5,3.174650841097491e+16,2.0316180118053744e+16,60.97746641200439,48419.245703125,59300.67911516089,37537.81229108911,1.8042326886684945,-39.96793129671662
2021-02-25,49709.08203125,51948.96875,47093.8515625,47093.8515625,54506565949,-0.053969759252051705,0.8996293142395697,4855.1171875,3862.8557477678573,48307.630859375,-10446.09375,52765.50390625,44150.776692708336,50215.045629962566,46688.68050729448,3526.3651226680886,4256.421736718318,-730.0566140502297,48.4274762561818,48712.223958333336,2655136047707354.0,0.0,2655136047707354.0,2.793315133588275e+16,2.29713161657611e+16,54.873673582737524,48866.7228515625,58649.674599498714,39083.77110362629,-5.253924200945182,-14.426376044597644
2021-02-26,47180.46484375,48370.78515625,44454.84375,46339.76171875,350967941479,-0.016142075456887308,0.9011708372976619,3915.94140625,3976.797433035714,46376.2880859375,-7867.55859375,51401.450892857145,44681.0171875,49618.84810516063,46662.83467110599,2956.0134340546356,3996.340076185582,-1040.3266421309463,47.78320026673275,46388.463541666664,1.628086355759239e+16,0.0,1.628086355759239e+16,2.429230681426609e+16,3.925217972335349e+16,38.228819112236536,49220.4103515625,58002.13982568917,40438.680877435836,-1.6012490351298148,543.9002996581901
2021-02-27,46344.7734375,48253.26953125,45269.02734375,46188.453125,45910946382,-0.0032705424799890207,0.8992042071429801,2984.2421875,4071.7101004464284,46474.80078125,-2635.97265625,49985.584263392855,45105.095703125,49091.09503128976,46627.69529732036,2463.3997339694033,3689.7520077423464,-1226.3522737729431,48.238492592406956,46570.25,2138084250746335.5,2138084250746335.5,0.0,2.6430391065012424e+16,3.593763340326621e+16,42.37811168518788,49584.6609375,57073.79012955437,42095.53174544562,-0.3265200081699504,-86.91876352337809
2021-02-28,46194.015625,46716.4296875,43241.6171875,45137.76953125,53443887451,-0.02301047656676125,0.9037246197412625,3474.8125,4149.759207589285,45058.396484375,-4567.5625,48213.84486607143,45465.80846354167,48482.89110820672,46517.330425759596,1965.5606824471251,3344.9137426833026,-1379.3530602361775,42.97293686895139,45031.938802083336,2406681869038861.5,0.0,2406681869038861.5,2.297911859609471e+16,3.834431527230507e+16,37.47200237580947,49531.726171875,57135.775576233274,41927.67676751673,-2.2747754528746222,16.40772334842
2021-03-01,45159.50390625,49784.015625,45115.09375,49631.2421875,53891300112,0.09490116032713884,0.7539133461281562,4668.921875,4302.675502232143,48540.3984375,2537.390625,47560.119419642855,45977.86575520833,48659.560505021065,46747.99055625888,1911.5699487621823,3058.2449838990788,-1146.6750351368964,52.888213673066865,48176.783854166664,2596309517115851.5,2596309517115851.5,0.0,2.5575428113210564e+16,3.4666331263992988e+16,42.45465002618884,49689.2330078125,57156.49338867814,42221.97262694687,9.955017057586456,0.8371633919972865
2021-03-02,49612.10546875,50127.51171875,47228.84375,48378.98828125,47530897720,-0.025554925208490772,0.7604363668574003,2898.66796875,4285.452008928572,48528.5830078125,2039.2265625,47496.48549107143,46486.68671875,48616.39554751782,46868.80520255452,1747.5903449633042,2796.114056111924,-1048.52371114862,48.59381101798645,48578.447916666664,2308977239323430.5,2308977239323430.5,0.0,2.4115594932174772e+16,3.4666331263992988e+16,41.02552687997313,49862.2732421875,57017.90942865469,42706.637055720304,-2.5231161886280384,-11.802280477148342
